date,const,liquidity_alpha,size_alpha,signal_2,sentiment_change_alpha,sentiment_exp_decay_alpha,sent_macd_alpha,signal1,signal2,signal3,signal4,signal5,signal6,signal7,signal8,train_start,train_end,n_train
2025-05-21,0.0011404855813763087,0.001797712169531607,0.00048750121734550416,0.0004337015558697849,4.614683879697173e-05,-0.00035469283753253284,-0.0006250769892299285,0.0019352927835889248,-0.0006260359482316778,0.001158771852025427,0.0004883565936033087,-0.002409747574560874,0.0001288312054344457,-4.7629953043547354e-05,0.000470245980604506,2024-05-17,2025-05-20,4999
2025-05-22,0.0011405067720046335,0.0017985515114277099,0.00045721827383622183,0.00042065779157214215,6.546699815976854e-05,-0.0003613657533818257,-0.0006097760968098729,0.0019635669262892267,-0.0006333370358296165,0.001197827717072529,0.0005229150773279533,-0.0024417526059389958,0.0001439723367595261,-4.5404371887320066e-05,0.00040857433851361946,2024-05-20,2025-05-21,4996
2025-05-23,0.0010899526861517799,0.001765276332755371,0.0004741434524577327,0.00040528613818896074,0.00010192114840461564,-0.0003868158919869493,-0.0006518274186328484,0.001961167689282679,-0.0007503262914704056,0.0011169000403976966,0.0005428843174772555,-0.002480369472615252,0.00012914288229984254,-1.2690342892760913e-05,0.00043633930742215555,2024-05-21,2025-05-22,4994
2025-05-27,0.0012044491449359946,0.0018279004190353296,0.0004036807469500059,0.0003912046769936073,0.00017218124498866047,-0.0003301935793773804,-0.0006861467627512033,0.0020038397308233544,-0.0006054785035109987,0.0012199148544288873,0.0005404372705404572,-0.0024090015601961404,0.00011344974996893846,-5.919956892173981e-05,0.00039025196389124106,2024-05-22,2025-05-23,4992
2025-05-28,0.001211683284418462,0.0017587016476588021,0.00038260351266472894,0.000391927963812226,0.0002829741377480938,-0.00038437674129794183,-0.0006699805533555715,0.0019712970695486367,-0.0005953879961402865,0.0012172183472830267,0.0005100581173282477,-0.0023862320561532663,8.053773157444878e-05,-3.2825768546520185e-05,0.00036647030444173753,2024-05-23,2025-05-27,4991
2025-05-29,0.001220592735508034,0.0017423493827622653,0.0004085443406175,0.00034713873833922156,0.00028400902412283833,-0.00039862503524972805,-0.0006715294421179289,0.0019647514870872263,-0.0005691224540518823,0.0012317355405182767,0.0004893017349693878,-0.0023912055678607723,0.00011842292565252579,-9.199895787139465e-05,0.00041310950759483757,2024-05-24,2025-05-28,4992
2025-05-30,0.0011995701444760078,0.0016300094517461476,0.0003647542475210838,0.0003468787192580241,0.00015255925022459314,-0.0005520788046649012,-0.0006572105848223668,0.001959720771761392,-0.000565653568215876,0.0012692490229696347,0.000480024450300844,-0.002345477789393034,0.0001358095721612472,-9.714784452026811e-05,0.0003556093063863464,2024-05-28,2025-05-29,4989
2025-06-02,0.0012444749281045743,0.0015937223630234896,0.0003859388884389824,0.0003255863232481195,0.0001930128377429939,-0.0005670425799106136,-0.0006482530252339953,0.0019571506645514472,-0.0005643326965603398,0.0012610694420696145,0.0005303895218229699,-0.002337946042956061,0.00019342942672974186,-0.00011516188289651354,0.000368380960455052,2024-05-29,2025-05-30,4982
2025-06-03,0.0013054148625012301,0.001635376442234467,0.00038658820885370694,0.000332986334272529,0.00026672921720109733,-0.0005096817908515326,-0.0007676409423954591,0.0019239153047411245,-0.0005892688598372685,0.0012012317876598745,0.0006152953255825607,-0.0022905956225719717,0.00019635964702048513,-0.00014014533743500715,0.00041885037629076717,2024-05-30,2025-06-02,4983
2025-06-04,0.0013108544036818145,0.0016155401840530768,0.000396184524678863,0.0002952282537446355,0.000294004381863836,-0.00047777095404910667,-0.000783305516718734,0.0018925696767277775,-0.0006089353727674576,0.0012183853196917245,0.0006398497143336052,-0.002245650903522661,0.0001966600516254166,-0.0001276220195333182,0.00042477122467084037,2024-05-31,2025-06-03,4982
2025-06-05,0.0012587169743263913,0.0014905182655448525,0.00036954720002353334,0.0003854376722257777,0.00012579888696203834,-0.0006008816376050155,-0.0006767288614275336,0.001853564467224549,-0.0006937037798395755,0.001296629274064811,0.0006764594131047375,-0.0022238943322003385,0.00020814404874809655,-0.00012056882619862555,0.00038221616170900404,2024-06-03,2025-06-04,4981
2025-06-06,0.0012864476061884404,0.0015317231664651622,0.0003540320486042299,0.00037858876594755843,6.934269526117558e-05,-0.0005987605066651735,-0.0006416964648940643,0.001902037669503915,-0.0006709926075205394,0.001314321233286783,0.0006936723523601617,-0.002243495153261493,0.0001906768693988727,-8.883727184157841e-05,0.00037497975972052727,2024-06-04,2025-06-05,4980
2025-06-09,0.0012459660869469646,0.0015278533809227862,0.00037438215522893575,0.0002445812784952705,1.4015524114821818e-05,-0.0006020753481685075,-0.0006069798923038426,0.0018673330174558628,-0.0006868645893295149,0.0013230379962601677,0.0007122061339128657,-0.002301234425697531,0.00018194253807971228,-2.5375297072706712e-05,0.0003796974476831662,2024-06-05,2025-06-06,4975
2025-06-10,0.0012863725149642271,0.001584593146313574,0.00033525705316373057,0.00016515546841123816,7.160558402529156e-06,-0.0006303161123385718,-0.0006063273310580309,0.0018312752574855852,-0.0006374480420812227,0.0013285665196684493,0.0007268447275843124,-0.002302246965491038,0.00016921531124550779,1.3776343833383067e-05,0.00038249333325296035,2024-06-06,2025-06-09,4977
2025-06-11,0.001275308454254788,0.001570879970528886,0.00030417647019976955,0.00016431313165709465,-3.804331704291436e-05,-0.0006104980480150144,-0.0005797761164701597,0.0018492094880521222,-0.0006234370874930291,0.0013411105558737023,0.0007229123395676896,-0.002301016186769317,0.0001677088039750669,2.164495365303558e-05,0.00034545995868559104,2024-06-07,2025-06-10,4976
2025-06-12,0.0012720523793553033,0.0015863181428368508,0.0003567675306826501,0.0001934486092183194,-0.00012601719580397866,-0.0005882052407624275,-0.0005691424506814,0.00186338101179795,-0.000633511759233284,0.0013567705829907407,0.0007531979016929912,-0.0022972645832462966,0.0002628316355355517,-4.7931591271745594e-05,0.00042967500171728356,2024-06-10,2025-06-11,4977
2025-06-13,0.0012656885403044959,0.0016130211441122537,0.0003375411881115632,0.00022025757029655037,-0.00016668961904244852,-0.0006947928754285303,-0.00046758517446931656,0.0017869154341144692,-0.000577500001648228,0.001352925510402348,0.0007010022675692907,-0.0023233744627948667,0.00021456526541319774,9.135509936460762e-05,0.0004859711789687408,2024-06-11,2025-06-12,4977
2025-06-16,0.0012387534815939698,0.00154328496325484,0.00025052728440196233,0.00013430392842511725,-0.00018805650505710432,-0.0006691864215499156,-0.0004450644571601453,0.0018282992099649157,-0.0005822145162568931,0.0013967164363625098,0.0006699662217648813,-0.0023334202303237107,8.908658663579165e-05,0.00020214139851062565,0.000329405207139119,2024-06-12,2025-06-13,4974
2025-06-17,0.0011769953045199096,0.001475880054934823,0.0002917645887483859,9.43045865658051e-05,-0.00012346306832762972,-0.0006658177311146085,-0.0004677446836226518,0.0018359995454956441,-0.0005629518607323122,0.0014434784963624884,0.0006282383794429869,-0.0023121398253929063,6.672660257354843e-05,0.0002324642710252508,0.00036892244902184677,2024-06-13,2025-06-16,4977
2025-06-18,0.0011514316856477925,0.0015244252597684457,0.00028634468242457053,6.0438008326348894e-05,-0.0001534031876514103,-0.0006720153603188471,-0.00048578174250247104,0.0018438597791280596,-0.0005864381814557905,0.0014461881430879236,0.0006460671887623024,-0.0023282059452077604,8.483247585785955e-05,0.00020867720801346314,0.00035743786488449275,2024-06-14,2025-06-17,4978
2025-06-20,0.001066168168718769,0.0014963358658964365,0.0003420643131655037,8.284928299807131e-05,-0.00020095634463678424,-0.0007623852893406938,-0.0004795235140205644,0.0018677582014746332,-0.0005941788375108243,0.0014243668898904851,0.000632314392025218,-0.002316372940475162,4.685136543637991e-05,0.00020862106233560094,0.00041787564588486773,2024-06-17,2025-06-18,4975
2025-06-23,0.0010995306051374296,0.0014839843154321572,0.00029612521004524563,6.743549826098515e-05,-0.00016838743709624167,-0.0007866737059139802,-0.0004959399678053468,0.0018724073561910456,-0.0006269983994751518,0.0014085517349814317,0.0006152477645697677,-0.002318269544956663,0.0001437562409378419,0.0001376624404875067,0.0003051040716899716,2024-06-18,2025-06-20,4979
2025-06-24,0.0011671484093051991,0.0015092528091335718,0.00028167681893372445,7.925022748597492e-05,-0.0001460804133392778,-0.0007583498178287605,-0.0005796405484167837,0.0017417912336344062,-0.000548276211731585,0.0013204330678978668,0.000605873776558033,-0.002240700764823735,0.00019052463942127224,0.00012687522462751362,0.0003518060554754913,2024-06-20,2025-06-23,4979
2025-06-25,0.0011987207659627812,0.0015303111552765851,0.00031522911172241256,6.130297520205483e-05,-9.097161226115462e-05,-0.0006974900628413176,-0.0006566578053799282,0.00173171718077358,-0.0005246987105322692,0.0013191354946841705,0.0006177593725723581,-0.002276820982312143,0.00021283746284924044,0.0001318513150211021,0.00038884937524989277,2024-06-21,2025-06-24,4973
2025-06-26,0.0012382857371386578,0.0015416645560863897,0.0003274346497899837,6.489131992129859e-05,-7.191097507124211e-05,-0.0006249537102266996,-0.0006972077373229693,0.0017158519942593647,-0.00045368636277732193,0.0012721263962081945,0.0005935203079477789,-0.0022213961117639614,0.00018438648825130566,0.00014376855669405778,0.00039618171805578346,2024-06-24,2025-06-25,4970
2025-06-27,0.0012272749254443678,0.0014724659103072287,0.0003420025675858293,3.719454854115797e-05,-3.2121031096738374e-07,-0.0007014846868442521,-0.0006891915911375792,0.001617717499240623,-0.0004504547521146142,0.0012471129116728293,0.0005402580247104911,-0.002227748128811082,0.0002223371430631884,0.00012381887584727463,0.00038958357806837413,2024-06-25,2025-06-26,4966
2025-06-30,0.001226905382351213,0.0013936769141677514,0.00035403840014139516,4.417777918470288e-05,-1.470795601732598e-06,-0.0007434677545895269,-0.0006405493542399529,0.0015661839500123282,-0.0003971136657634084,0.0012158751058991388,0.0004971130144145478,-0.0022152569547759194,0.00023415790165011687,0.00011718406200508059,0.0004153073177598331,2024-06-26,2025-06-27,4961
2025-07-01,0.0012128426114839624,0.001396849838977887,0.00029600521162394196,6.70040299737821e-05,-1.1277393199397149e-05,-0.0007341116946939961,-0.0006238111573999852,0.0015817566998662447,-0.00028728178997012904,0.0012988698671336195,0.0003881134918082676,-0.002237797461950288,0.00031644929738486685,6.190409003709632e-05,0.00039965232502291604,2024-06-27,2025-06-30,4960
2025-07-02,0.0012792862345444244,0.001410388559349893,0.00028858301440631216,5.523705981169954e-05,2.9175102251598862e-05,-0.0007591649241724084,-0.0006419514943148032,0.0015621437314843223,-0.00030032940209428897,0.001210210922536216,0.00043456409099056607,-0.0021810773592272725,0.0003198906032927973,6.962695082636609e-05,0.0003942521397380909,2024-06-28,2025-07-01,4960
2025-07-03,0.0012812011699860246,0.0013615230242113197,0.0002729650103891229,8.761789129818585e-05,5.005128251742064e-05,-0.0007387838861828742,-0.0006556360448130604,0.001541048496108584,-0.00030114347384341755,0.0011200709070666294,0.00040592600338313614,-0.0021403902221286937,0.00025971076422780394,0.00010636187435046519,0.00041729440589274766,2024-07-01,2025-07-02,4958
2025-07-07,0.0012045965336865247,0.001272336779384504,0.000328331745149544,0.00011309043297374542,4.563810476818113e-05,-0.0006341605669562611,-0.0007012361253949437,0.0016178984367464016,-0.0003041233647727483,0.0011687550489641605,0.0003888321546778598,-0.0021366201661455145,0.00029339571972745147,6.759888790874138e-05,0.00048418232775579645,2024-07-02,2025-07-03,4957
2025-07-08,0.001150726796777404,0.00124459799957603,0.0003742317714013207,0.0001084501177693526,9.957725946114603e-05,-0.0005820278907888311,-0.0007210878208984424,0.0016828642391798628,-0.0003263654670319678,0.0012272279448611147,0.00038799832908143525,-0.0021433235129197756,0.0003066511044197651,5.005300440688239e-05,0.0005326998344387835,2024-07-03,2025-07-07,4957
2025-07-09,0.0011420250554330235,0.0012335252113819487,0.0003589336555597947,9.62823907046924e-05,7.36049194171372e-05,-0.0004970055972122685,-0.0008049163708221294,0.0016685053325757773,-0.00027869974622110263,0.0012182650436072236,0.0002823784175152861,-0.002180578605786635,0.000325613900083277,5.216657613714051e-05,0.0005139419491820784,2024-07-05,2025-07-08,4954
2025-07-10,0.0011493249497143278,0.0012530576003178568,0.0003270116948637906,9.703306758564132e-05,0.00011635207424660748,-0.000554959801001315,-0.0008182020235330738,0.0016995442604688625,-0.0003272358136338269,0.0012344860564611152,0.00034748302581130486,-0.002188503240203669,0.00029437586756714745,9.435314989144268e-05,0.0004920928692349198,2024-07-08,2025-07-09,4954
2025-07-11,0.0011328310540012917,0.0012371330532777195,0.0003279028351514863,0.00011680481370565871,0.0001561721528935514,-0.0005688228923972984,-0.0008329569306839241,0.0017587416813899697,-0.00035642598264146717,0.001253928514041148,0.0003682104263944461,-0.0021910555891701145,0.00029082516291732723,7.786696336484157e-05,0.0004823995007520734,2024-07-09,2025-07-10,4952
2025-07-14,0.0010942815421692831,0.0012024032796121207,0.00034833904430865177,0.00012623768202839786,0.00014290922312619426,-0.000582444451213608,-0.0008031194071365824,0.0017682854015523553,-0.00033261769210523576,0.0012897324287078613,0.00032567038784610876,-0.0021654078469783944,0.0003343570714965289,5.532775539009361e-05,0.0004865826698404613,2024-07-10,2025-07-11,4952
2025-07-15,0.0011755676654048564,0.0012789818145008108,0.00037083807682365336,0.00010431865207030128,9.837942620668305e-05,-0.0005396245837386768,-0.0008702238034657533,0.001680888119788376,-0.0002780217721836146,0.0011978409826021693,0.00035896405335574715,-0.0021586041128076605,0.00031306772667712466,4.992747810636855e-05,0.000492438997707603,2024-07-11,2025-07-14,4953
2025-07-16,0.0011786504163746865,0.0012502490591102186,0.0003550864291910704,7.789875437014506e-05,0.00010812661052187557,-0.0005457017751562708,-0.0008709705840527454,0.0016698049171383188,-0.0003227268684381394,0.0012116552817394621,0.00037482513051214435,-0.002161307799828328,0.00031732218478682417,6.674482132592316e-05,0.00045850044966950923,2024-07-12,2025-07-15,4952
2025-07-17,0.0011654325215882677,0.0012330622908862598,0.00039860130482682735,9.924919425344628e-05,0.00013403929012645736,-0.0005466016978179301,-0.0008941041208979342,0.0016720968857208262,-0.0003657094275947756,0.0011510916563185216,0.0004063009966925063,-0.002134092330836251,0.0003026315786432815,4.080709282859473e-05,0.0004956065049410657,2024-07-15,2025-07-16,4949
2025-07-18,0.0011624388473351428,0.0012383393950232164,0.0004159418735595518,7.703736025508461e-05,0.00015455163948217712,-0.0005306285166898937,-0.0009080203545584973,0.0016802932113671556,-0.0003797519500300521,0.0011438697635672464,0.0003904844641296595,-0.0020997823131867766,0.00024219079882503684,5.7086441319082897e-05,0.0004939234439284496,2024-07-16,2025-07-17,4949
2025-07-21,0.001248265120315041,0.0013061337427825695,0.00034764619754631666,0.00010556074412527198,0.0001975127737062185,-0.00042072474286386524,-0.0010106089644165107,0.0017654818232719302,-0.000401843056694899,0.0010536260655206878,0.00037314203236902974,-0.002095102766617271,0.0001258024541179521,8.720280034420672e-05,0.00039917850883100075,2024-07-17,2025-07-18,4947
2025-07-22,0.0012826770698681508,0.0012454242581804707,0.00036380350596777435,0.00012913159342793884,0.00017313802948797495,-0.0004252737157140458,-0.000986686599687282,0.0017578743759644755,-0.00039574556356325956,0.0011067985253213962,0.0004124517282943125,-0.0020918730141675067,0.0001843116636276093,5.8508380459089996e-05,0.0004164178834506216,2024-07-18,2025-07-21,4946
2025-07-23,0.0013421631868403452,0.0012755376268970388,0.00034500467304821904,9.247717286206024e-05,0.00020071412867321377,-0.00041722227824118137,-0.0010476090261962352,0.001760672005619527,-0.00041416643333999723,0.0010101945762039945,0.0004246858197161013,-0.002141643584337427,0.00016003900052737844,7.550666492283465e-05,0.0003890585655619744,2024-07-19,2025-07-22,4940
2025-07-24,0.0013053248935811666,0.0011750866027565063,0.00034985235427006597,0.00011294911128146529,0.0002183652523216979,-0.0004043941429116675,-0.0010255682349563581,0.001756856964057182,-0.0004657880997135979,0.0010594980667187326,0.0005075066169808366,-0.002139853550627898,0.0001936230306657236,7.057759309416671e-05,0.0003876446702767267,2024-07-22,2025-07-23,4940
2025-07-25,0.0013300332586329128,0.0012111434199903578,0.00030511506816022254,4.808014165673608e-05,0.0002674534510393255,-0.00040243898681717677,-0.0010441234832755885,0.0017482077891152786,-0.00045782728713950424,0.0010315498949690285,0.0005065335711359589,-0.0021582441281149537,0.00017006710670368992,0.0001060623065501318,0.00035749700193622724,2024-07-23,2025-07-24,4938
2025-07-28,0.0014782501502498039,0.0013337618672608093,0.00036698561573462324,5.1265150101925163e-05,0.00028785798674259446,-0.000536590484314881,-0.001054974294536439,0.0017277322103090534,-0.00025358897591027415,0.0007957458516431259,0.0003431651406250746,-0.0021748694422766535,0.00012200340759486837,3.134455788664545e-05,0.00042025788243672043,2024-07-24,2025-07-25,4935
2025-07-29,0.0015001040496775589,0.0012943132845287396,0.000358841995547087,4.974020632614645e-05,0.00022087679148922678,-0.0005059900912522861,-0.0010372438840604034,0.0017422879081359307,-0.0002723219200077072,0.0007418379694452824,0.0003083865061964359,-0.002111520595628785,0.00016020109203197534,3.291226115265405e-05,0.00041194002604718585,2024-07-25,2025-07-28,4937
